release_id,domain,dataset,metric,n,score_percent,record_status,artifact,records
qwen2.5-14b,general_understanding,mmlu,accuracy,500,80.0,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,general_understanding,race,accuracy,300,86.0,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,long_context_reasoning,hotpotqa,f1,300,24.2,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,long_context_reasoning,narrativeqa,f1,250,25.4,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
qwen2.5-14b,long_context_reasoning,longbench_multifieldqa,f1,110,27.3,aggregate-only,checkpoints/qwen2.5-14b/controller.pt,
mixtral-8x7b,quantitative_reasoning,gsm8k,exact_match_number,500,69.2,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,quantitative_reasoning,math,exact_match_number,400,42.0,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,quantitative_reasoning,drop,f1,300,14.0,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,symbolic_and_code,folio,accuracy,203,43.8,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,symbolic_and_code,proofwriter,accuracy,400,67.5,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,symbolic_and_code,bbh_temporal,accuracy,100,55.0,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,symbolic_and_code,humaneval,pass@1,164,33.5,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,symbolic_and_code,mbpp,pass@1,250,43.2,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,general_understanding,commonsense_qa,accuracy,400,71.0,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,general_understanding,strategyqa,accuracy,400,67.8,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,general_understanding,boolq,accuracy,400,81.5,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,general_understanding,mmlu,accuracy,500,68.4,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,general_understanding,race,accuracy,300,76.0,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,long_context_reasoning,hotpotqa,f1,300,17.2,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,long_context_reasoning,narrativeqa,f1,250,22.2,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
mixtral-8x7b,long_context_reasoning,longbench_multifieldqa,f1,110,43.7,aggregate-only,checkpoints/mixtral-8x7b/controller.pt,
